team,player,result,x,y
Colorado Avalanche,Andre Burakovsky,MISSED_SHOT,73.0,-3.0
Colorado Avalanche,Gabriel Landeskog,GOAL,66.0,-0.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,73.0,1.0
Colorado Avalanche,Cale Makar,GOAL,75.0,2.0
Colorado Avalanche,Erik Johnson,SHOT,74.0,18.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,41.0,4.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,85.0,8.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,64.0,-3.0
Colorado Avalanche,Tyson Jost,SHOT,52.0,5.0
Colorado Avalanche,Nathan MacKinnon,SHOT,84.0,-0.0
Colorado Avalanche,Darren Helm,SHOT,50.0,29.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,36.0,-2.0
Colorado Avalanche,Nathan MacKinnon,SHOT,72.0,-12.0
Colorado Avalanche,Gabriel Landeskog,MISSED_SHOT,77.0,-1.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,41.0,-22.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,41.0,-27.0
Colorado Avalanche,Andre Burakovsky,SHOT,43.0,12.0
Colorado Avalanche,Jack Johnson,SHOT,44.0,12.0
Colorado Avalanche,Kurtis MacDermid,BLOCKED_SHOT,74.0,3.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,78.0,1.0
Colorado Avalanche,Bowen Byram,SHOT,45.0,31.0
Colorado Avalanche,Gabriel Landeskog,SHOT,77.0,2.0
Colorado Avalanche,Erik Johnson,SHOT,36.0,-23.0
Colorado Avalanche,Sampo Ranta,SHOT,76.0,-5.0
Colorado Avalanche,Darren Helm,MISSED_SHOT,51.0,10.0
Colorado Avalanche,Gabriel Landeskog,SHOT,90.0,-10.0
Colorado Avalanche,Erik Johnson,MISSED_SHOT,57.0,-14.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,55.0,-1.0
Colorado Avalanche,Jack Johnson,BLOCKED_SHOT,73.0,-11.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,52.0,-7.0
Colorado Avalanche,Cale Makar,SHOT,65.0,-17.0
Colorado Avalanche,Gabriel Landeskog,SHOT,68.0,24.0
Colorado Avalanche,Gabriel Landeskog,SHOT,82.0,6.0
Colorado Avalanche,Andre Burakovsky,SHOT,49.0,7.0
Colorado Avalanche,Bowen Byram,BLOCKED_SHOT,74.0,-2.0
Colorado Avalanche,Darren Helm,BLOCKED_SHOT,61.0,-1.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,59.0,12.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,71.0,-10.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,79.0,5.0
Colorado Avalanche,Nathan MacKinnon,SHOT,52.0,12.0
Colorado Avalanche,Jack Johnson,BLOCKED_SHOT,71.0,-6.0
Colorado Avalanche,Cale Makar,GOAL,38.0,-2.0
Colorado Avalanche,Cale Makar,BLOCKED_SHOT,72.0,0.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,69.0,7.0
Colorado Avalanche,Martin Kaut,BLOCKED_SHOT,84.0,23.0
Colorado Avalanche,Tyson Jost,SHOT,75.0,-0.0
Colorado Avalanche,Andre Burakovsky,SHOT,51.0,-23.0
Colorado Avalanche,Bowen Byram,SHOT,80.0,29.0
Colorado Avalanche,Logan O'Connor,SHOT,72.0,-33.0
Colorado Avalanche,Kurtis MacDermid,BLOCKED_SHOT,73.0,1.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,41.0,-6.0
Colorado Avalanche,Mikko Rantanen,SHOT,81.0,-1.0
Colorado Avalanche,Bowen Byram,MISSED_SHOT,77.0,-1.0
Colorado Avalanche,Gabriel Landeskog,MISSED_SHOT,76.0,-0.0
Colorado Avalanche,Nathan MacKinnon,SHOT,38.0,6.0
Colorado Avalanche,Andre Burakovsky,SHOT,36.0,-3.0
Colorado Avalanche,Bowen Byram,SHOT,35.0,-10.0
Colorado Avalanche,Nathan MacKinnon,SHOT,51.0,19.0
Colorado Avalanche,Andre Burakovsky,SHOT,70.0,-15.0
Colorado Avalanche,J.T. Compher,SHOT,62.0,-3.0
Colorado Avalanche,Logan O'Connor,SHOT,63.0,-13.0
Colorado Avalanche,Darren Helm,SHOT,67.0,15.0
Colorado Avalanche,Cale Makar,SHOT,38.0,-18.0
Colorado Avalanche,Andre Burakovsky,MISSED_SHOT,83.0,11.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,38.0,-23.0
Colorado Avalanche,Nathan MacKinnon,SHOT,70.0,16.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,40.0,-11.0
Colorado Avalanche,Andre Burakovsky,SHOT,81.0,-12.0
Colorado Avalanche,Nazem Kadri,SHOT,57.0,-3.0
Colorado Avalanche,Jacob MacDonald,SHOT,69.0,-9.0
Colorado Avalanche,Jayson Megna,SHOT,66.0,21.0
Colorado Avalanche,Jayson Megna,SHOT,70.0,15.0
Colorado Avalanche,Sampo Ranta,SHOT,38.0,12.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,67.0,10.0
Colorado Avalanche,J.T. Compher,GOAL,72.0,-2.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,73.0,-17.0
Colorado Avalanche,Logan O'Connor,SHOT,80.0,-7.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,72.0,-2.0
Colorado Avalanche,Andre Burakovsky,MISSED_SHOT,84.0,-26.0
Colorado Avalanche,Erik Johnson,SHOT,61.0,-32.0
Colorado Avalanche,Jacob MacDonald,SHOT,83.0,-7.0
Colorado Avalanche,Jayson Megna,SHOT,78.0,-5.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,56.0,12.0
Colorado Avalanche,Logan O'Connor,SHOT,66.0,16.0
Colorado Avalanche,Nazem Kadri,SHOT,43.0,3.0
Colorado Avalanche,Logan O'Connor,SHOT,88.0,-7.0
Colorado Avalanche,Bowen Byram,BLOCKED_SHOT,74.0,-7.0
Colorado Avalanche,Cale Makar,SHOT,42.0,-3.0
Colorado Avalanche,J.T. Compher,SHOT,61.0,-6.0
Colorado Avalanche,J.T. Compher,GOAL,68.0,-7.0
Colorado Avalanche,Nazem Kadri,SHOT,20.0,6.0
Colorado Avalanche,Jayson Megna,SHOT,81.0,11.0
Colorado Avalanche,Kurtis MacDermid,SHOT,39.0,18.0
Colorado Avalanche,Ryan Murray,MISSED_SHOT,41.0,-22.0
Colorado Avalanche,Nazem Kadri,GOAL,82.0,-20.0
Colorado Avalanche,Jacob MacDonald,MISSED_SHOT,70.0,12.0
Colorado Avalanche,Darren Helm,SHOT,60.0,-1.0
Colorado Avalanche,Darren Helm,SHOT,51.0,-38.0
Colorado Avalanche,Martin Kaut,SHOT,71.0,-18.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,68.0,-1.0
Colorado Avalanche,Jack Johnson,BLOCKED_SHOT,73.0,-12.0
Colorado Avalanche,Jack Johnson,SHOT,76.0,-10.0
Colorado Avalanche,Bowen Byram,SHOT,40.0,20.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,79.0,7.0
Colorado Avalanche,Kurtis MacDermid,BLOCKED_SHOT,67.0,6.0
Colorado Avalanche,Gabriel Landeskog,SHOT,47.0,23.0
Colorado Avalanche,Bowen Byram,SHOT,39.0,13.0
Colorado Avalanche,Cale Makar,GOAL,50.0,-2.0
Colorado Avalanche,Nathan MacKinnon,SHOT,54.0,-16.0
Colorado Avalanche,Darren Helm,SHOT,45.0,23.0
Colorado Avalanche,J.T. Compher,SHOT,40.0,9.0
Colorado Avalanche,Jacob MacDonald,SHOT,69.0,9.0
Colorado Avalanche,Jacob MacDonald,SHOT,77.0,-1.0
Colorado Avalanche,Sampo Ranta,MISSED_SHOT,41.0,1.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,73.0,8.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,68.0,-6.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,73.0,3.0
Colorado Avalanche,Bowen Byram,SHOT,8.0,24.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,61.0,-15.0
Colorado Avalanche,Tyson Jost,SHOT,80.0,7.0
Colorado Avalanche,Nazem Kadri,BLOCKED_SHOT,68.0,-7.0
Colorado Avalanche,Logan O'Connor,BLOCKED_SHOT,67.0,-8.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,70.0,4.0
